Temperature,Humidity,Soil Moisture,pH,N,P,K,Crop
29.9,52.7,443,6.05,61,64,72,Maize
22.6,63.3,313,5.47,54,77,69,Potato
15.2,54.1,268,6.84,40,25,63,Wheat
27.7,53.2,397,5.94,87,64,41,Tomato
21.4,51.2,430,7.37,51,50,44,Chickpea
32.6,65.0,430,7.34,105,33,40,Cotton
23.2,40.2,390,6.31,89,30,61,Wheat
22.3,73.0,615,6.59,121,69,54,Sugarcane
26.8,57.5,395,7.78,108,25,88,Cotton
22.5,50.9,357,6.48,52,38,42,Wheat
22.9,41.7,268,6.37,64,35,54,Barley
30.0,62.8,578,7.19,148,70,80,Sugarcane
27.8,61.9,227,7.84,52,41,67,Chickpea
15.9,58.7,310,6.28,93,29,26,Wheat
26.2,62.6,568,6.16,114,44,48,Maize
18.1,69.0,363,7.31,55,26,30,Barley
25.9,66.7,748,7.27,109,58,64,Sugarcane
27.9,48.0,373,6.35,104,67,36,Maize
20.8,40.2,311,6.16,80,27,54,Barley
25.3,81.6,381,5.81,86,49,62,Rice
21.0,63.7,464,6.36,62,61,31,Maize
19.1,77.7,420,6.11,91,59,78,Tomato
29.1,69.6,493,6.28,55,51,67,Cotton
25.2,74.4,376,5.69,86,58,32,Rice
23.0,83.8,417,6.19,84,57,82,Potato
23.3,43.9,264,7.01,44,48,51,Chickpea
21.9,36.7,351,6.62,55,39,47,Barley
31.6,68.6,568,7.07,71,34,53,Maize
26.8,83.1,667,6.66,84,34,68,Rice
29.7,67.2,260,5.86,43,59,65,Groundnut
25.5,51.3,476,6.76,38,46,55,Groundnut
23.0,85.7,370,5.96,88,27,62,Rice
27.1,52.0,479,5.84,69,47,67,Maize
25.9,72.9,530,6.77,99,36,68,Rice
29.0,47.2,286,5.89,42,57,54,Groundnut
26.2,50.1,435,6.18,42,28,52,Chickpea
17.4,66.5,320,6.78,82,50,42,Barley
16.9,53.4,460,6.33,54,22,56,Barley
24.7,55.1,204,6.1,51,44,57,Millet
28.6,68.6,668,6.38,124,45,117,Sugarcane
20.8,49.9,264,6.87,59,56,28,Chickpea
16.8,58.9,353,7.29,59,53,33,Wheat
20.4,62.8,255,6.86,40,31,30,Barley
18.4,54.6,302,6.82,66,32,50,Barley
30.7,65.9,456,6.91,26,51,40,Groundnut
28.0,49.4,334,5.87,50,25,20,Millet
18.6,71.8,413,6.41,64,38,79,Potato
24.2,57.6,341,6.43,21,31,60,Groundnut
24.6,74.1,648,6.05,114,54,92,Sugarcane
26.0,76.7,530,5.61,53,61,58,Tomato
37.5,61.2,296,6.94,109,57,84,Cotton
20.2,61.9,520,5.86,66,32,80,Maize
29.3,70.1,363,5.52,27,43,52,Groundnut
30.1,71.9,679,6.19,108,34,64,Sugarcane
26.9,47.6,299,5.71,41,20,38,Millet
19.3,67.8,469,6.13,51,78,58,Potato
22.7,48.9,460,5.97,67,63,38,Maize
24.2,62.8,282,7.48,58,42,54,Chickpea
30.4,56.8,292,6.74,21,30,28,Millet
22.6,69.7,447,7.0,29,49,54,Soybean
24.5,66.2,363,7.41,88,26,46,Cotton
17.1,67.4,365,6.13,103,44,67,Potato
22.7,44.3,412,6.52,90,43,55,Barley
19.7,56.7,414,6.39,99,48,40,Tomato
25.3,42.0,342,5.9,68,40,56,Millet
24.8,63.5,590,5.72,79,78,55,Potato
32.3,54.3,298,7.37,28,45,23,Millet
21.8,76.0,550,6.69,58,54,65,Soybean
25.7,60.6,489,6.75,85,67,65,Maize
25.8,50.5,401,5.82,25,48,35,Groundnut
21.3,71.5,545,7.23,46,39,27,Wheat
31.6,56.9,476,7.23,37,69,35,Soybean
31.8,74.0,576,6.33,87,60,25,Rice
27.7,64.4,485,6.47,40,20,68,Wheat
25.1,66.6,742,7.13,150,52,80,Sugarcane
27.6,71.5,468,6.13,27,50,64,Groundnut
29.3,64.1,660,7.3,106,59,102,Sugarcane
28.5,84.9,661,6.26,81,66,55,Sugarcane
15.8,44.6,412,6.92,72,55,49,Barley
17.8,44.8,366,7.17,55,38,64,Barley
19.8,63.1,406,6.3,75,49,97,Tomato
28.7,53.0,407,7.36,33,28,41,Chickpea
19.9,44.6,258,6.3,95,52,68,Wheat
26.9,48.7,235,7.36,20,42,26,Chickpea
30.1,52.1,257,5.71,28,26,68,Groundnut
19.5,63.7,315,6.56,56,51,57,Potato
22.3,79.8,323,5.65,66,66,59,Potato
26.1,56.1,287,6.75,70,32,85,Cotton
26.9,59.9,330,6.55,44,25,45,Groundnut
31.6,76.0,507,6.84,130,67,67,Sugarcane
30.5,77.5,423,6.71,118,28,60,Rice
23.2,64.0,310,6.95,66,64,48,Maize
26.5,69.8,638,6.08,146,67,65,Sugarcane
28.4,73.1,342,6.93,55,27,68,Groundnut
28.8,54.6,490,6.98,49,28,50,Groundnut
26.8,64.7,438,7.13,74,32,37,Wheat
26.7,50.9,515,6.21,60,52,42,Soybean
24.1,60.2,376,6.68,85,45,32,Maize
28.0,73.6,550,5.85,84,47,72,Tomato
28.1,60.0,439,6.46,33,49,30,Groundnut
28.8,62.1,331,5.76,38,38,22,Millet
24.0,59.4,309,6.23,75,27,53,Barley
29.6,90.0,461,6.64,103,30,58,Rice
15.7,74.2,475,5.59,67,31,61,Potato
24.9,87.4,634,6.49,91,34,37,Rice
26.8,41.4,286,5.8,49,50,28,Millet
24.7,74.1,399,6.63,32,45,39,Soybean
18.4,71.9,284,6.13,75,45,60,Wheat
23.7,78.0,361,6.16,61,34,108,Potato
31.3,58.3,303,6.34,23,40,54,Groundnut
24.9,61.3,456,7.43,104,56,74,Sugarcane
23.8,69.1,437,5.08,93,57,82,Potato
24.8,45.7,286,5.86,38,46,23,Millet
25.5,71.2,648,6.24,105,68,82,Sugarcane
21.4,51.7,425,6.92,79,59,61,Maize
29.1,68.4,376,7.01,80,35,69,Maize
35.0,53.6,323,6.8,27,32,43,Millet
30.1,94.2,513,6.5,105,29,60,Rice
36.5,51.2,388,6.76,53,47,61,Cotton
29.7,63.0,443,5.63,54,39,33,Millet
27.1,45.4,503,7.13,66,44,40,Wheat
30.5,63.3,393,6.42,60,34,61,Maize
25.1,61.6,478,6.86,85,34,63,Maize
23.2,74.1,353,6.5,42,23,42,Wheat
26.2,89.8,584,5.59,113,56,63,Rice
25.1,75.5,656,5.58,73,44,38,Rice
23.4,74.3,690,7.21,131,64,63,Sugarcane
31.3,55.4,340,5.84,23,42,41,Millet
21.7,74.7,364,6.23,30,70,66,Soybean
15.4,51.3,257,7.03,53,38,46,Barley
22.5,37.2,272,7.44,39,52,64,Chickpea
26.5,87.6,389,6.88,67,28,60,Rice
23.1,65.4,591,6.07,58,79,113,Potato
27.5,47.1,312,6.83,24,46,33,Chickpea
26.1,50.5,473,6.22,38,65,76,Soybean
24.8,84.9,491,6.33,93,37,30,Rice
34.6,51.8,462,7.77,101,38,83,Cotton
34.0,38.7,305,7.37,48,20,41,Millet
25.4,51.4,286,7.19,74,49,50,Wheat
22.8,42.6,423,7.17,56,28,34,Chickpea
23.0,91.8,445,6.05,72,54,32,Rice
30.1,74.5,398,5.98,36,29,70,Groundnut
21.5,79.1,317,6.33,116,34,80,Maize
33.6,79.4,530,6.36,146,48,113,Sugarcane
30.5,50.8,518,6.15,79,62,64,Maize
18.5,74.0,506,5.4,61,34,109,Potato
23.3,54.6,483,7.34,84,47,64,Wheat
23.6,70.8,532,6.27,75,67,66,Maize
17.8,38.6,325,6.99,75,40,48,Barley
30.3,63.7,332,7.47,54,31,21,Millet
22.6,60.4,378,6.29,28,38,58,Groundnut
28.7,71.9,393,7.38,66,56,39,Soybean
26.1,65.3,495,6.52,69,69,74,Soybean
15.3,53.9,292,6.16,79,29,30,Wheat
28.1,48.8,481,7.17,87,43,62,Maize
28.6,51.8,508,6.82,76,46,82,Tomato
24.6,45.2,368,7.01,56,47,62,Chickpea
21.0,43.4,492,6.76,40,44,34,Barley
19.2,71.4,507,7.02,57,23,29,Wheat
14.0,62.1,494,6.33,68,44,62,Barley
18.4,78.5,443,5.97,71,76,104,Potato
30.5,67.8,575,5.84,113,58,73,Maize
30.7,54.0,361,5.87,75,68,67,Maize
34.4,63.3,433,6.33,37,42,60,Millet
19.6,55.3,387,7.32,45,43,46,Wheat
28.1,31.9,223,7.24,46,29,30,Millet
24.7,76.7,516,5.48,54,30,100,Potato
24.5,41.6,324,6.31,57,60,34,Chickpea
16.0,83.3,579,6.7,101,35,80,Potato
20.7,55.0,345,7.98,23,55,64,Chickpea
29.9,65.7,466,7.7,101,28,73,Cotton
26.5,54.2,520,5.92,98,67,43,Tomato
28.4,61.9,255,7.42,100,25,48,Cotton
30.8,52.7,323,6.5,104,33,63,Cotton
25.5,91.0,354,6.93,60,49,44,Rice
34.2,50.3,247,6.94,27,27,46,Millet
22.5,46.6,309,6.3,76,52,73,Maize
23.6,83.8,632,6.11,74,32,54,Rice
35.3,62.9,446,7.3,82,58,81,Cotton
27.2,67.3,483,6.21,131,69,87,Sugarcane
33.6,73.3,397,7.12,59,54,41,Cotton
22.0,59.5,355,6.94,80,65,70,Maize
25.4,43.4,325,5.72,25,38,46,Millet
28.3,78.2,513,6.95,69,62,38,Maize
23.2,68.4,327,6.73,69,45,54,Soybean
28.0,51.9,331,6.55,59,53,67,Groundnut
12.7,38.7,392,7.11,36,31,25,Barley
25.5,71.8,544,6.15,48,36,55,Wheat
28.5,46.2,434,6.97,110,31,49,Cotton
25.8,73.2,590,6.62,29,47,68,Soybean
19.3,36.5,317,6.15,68,30,57,Barley
14.0,46.0,393,6.99,67,42,51,Barley
15.0,71.1,346,6.44,103,40,78,Potato
24.7,49.6,236,6.94,39,42,34,Chickpea
31.4,74.3,355,6.45,22,53,33,Groundnut
21.7,64.0,257,7.3,37,45,27,Chickpea
24.6,66.3,373,7.02,116,66,80,Maize
26.9,56.1,312,7.21,78,40,85,Cotton
27.9,88.2,562,6.48,113,56,64,Rice
20.1,68.1,434,6.4,70,70,46,Soybean
18.1,52.4,322,6.92,74,39,42,Barley
21.8,40.0,353,7.21,61,31,45,Wheat
31.1,71.1,450,6.52,85,45,51,Cotton
22.7,56.2,534,6.15,68,31,44,Wheat
24.6,48.2,373,7.31,53,34,37,Wheat
24.1,53.0,465,5.93,90,59,92,Tomato
33.3,65.6,659,6.47,146,34,79,Sugarcane
20.7,76.1,515,6.51,52,52,81,Potato
28.5,45.1,471,6.14,57,37,45,Groundnut
22.7,66.6,503,6.69,93,64,83,Potato
27.3,94.2,452,6.7,68,41,28,Rice
26.4,43.0,416,6.59,65,42,45,Millet
37.1,52.7,360,7.95,63,28,48,Cotton
27.3,69.2,522,6.86,45,31,52,Soybean
25.2,60.7,207,5.64,38,45,42,Millet
20.4,59.0,443,7.03,49,24,63,Barley
24.0,59.5,303,6.19,32,44,41,Groundnut
29.0,64.2,349,6.85,27,21,31,Millet
24.3,41.6,311,6.19,25,37,32,Millet
28.0,81.7,478,6.96,115,25,68,Rice
34.3,35.8,310,7.18,49,20,25,Millet
24.4,62.4,309,5.26,101,48,106,Potato
26.9,43.1,485,7.89,90,31,52,Cotton
23.2,66.0,346,6.86,111,53,69,Maize
24.2,74.1,517,6.36,127,66,85,Sugarcane
25.1,77.1,351,6.95,104,46,62,Maize
26.1,52.9,439,7.06,37,34,54,Chickpea
30.1,66.2,476,6.58,46,48,45,Soybean
22.7,58.5,480,6.72,74,54,73,Maize
19.5,70.7,329,6.79,98,32,70,Tomato
36.6,45.6,371,6.34,91,31,46,Cotton
22.8,76.1,385,6.4,96,67,94,Potato
33.6,51.5,355,7.35,32,21,31,Millet
26.3,73.4,499,5.85,50,52,90,Tomato
17.6,40.5,285,7.38,75,38,60,Wheat
22.0,56.2,499,6.02,25,62,65,Soybean
20.1,62.3,450,6.64,61,30,45,Tomato
20.2,61.6,455,6.06,96,41,69,Wheat
23.0,81.7,335,5.38,70,51,111,Potato
19.4,64.2,406,6.82,52,31,47,Tomato
23.6,52.6,451,5.83,50,32,66,Tomato
25.7,47.1,494,5.8,20,29,58,Groundnut
20.8,72.3,319,6.42,84,50,117,Potato
20.5,61.0,441,6.37,23,54,26,Chickpea
21.4,45.8,391,6.34,43,46,46,Chickpea
26.1,64.0,576,6.57,120,32,57,Maize
23.2,44.9,282,7.85,24,56,48,Chickpea
29.6,47.6,314,7.5,37,35,50,Millet
29.4,83.5,649,6.14,97,50,48,Rice
27.0,62.4,288,6.83,34,55,66,Groundnut
28.2,78.0,352,6.03,31,54,76,Soybean
25.1,35.9,280,7.0,56,55,67,Chickpea
23.9,82.9,550,6.14,129,47,100,Sugarcane
23.0,63.8,251,7.17,35,35,30,Chickpea
30.3,73.9,274,5.59,97,37,61,Cotton
27.9,45.3,210,6.02,44,25,56,Chickpea
24.2,63.3,356,7.59,92,28,39,Cotton
29.1,54.5,373,5.68,70,56,53,Tomato
25.1,80.2,556,6.55,95,33,37,Rice
23.8,59.2,358,6.3,99,41,96,Tomato
33.2,50.6,217,6.68,56,20,55,Millet
29.5,59.4,342,6.34,40,37,29,Chickpea
28.5,82.2,658,6.03,116,50,73,Sugarcane
29.5,56.8,269,6.94,32,40,41,Chickpea
21.3,65.5,475,5.74,110,33,108,Potato
30.5,62.2,744,6.51,147,57,52,Sugarcane
28.7,72.5,333,6.03,84,62,53,Maize
22.6,62.3,398,6.74,39,37,28,Barley
27.4,72.1,349,5.82,98,33,60,Cotton
31.3,54.3,479,6.13,46,41,80,Soybean
33.7,56.0,260,7.95,67,60,52,Cotton
23.8,69.0,476,7.0,68,30,50,Soybean
30.3,81.8,626,5.58,120,47,39,Rice
25.6,56.3,542,6.82,97,50,66,Tomato
16.1,40.7,315,6.06,81,29,46,Barley
30.6,73.8,357,6.49,67,44,36,Maize
18.1,69.9,418,6.72,65,56,72,Potato
24.9,69.5,501,6.58,94,63,61,Maize
25.1,76.0,464,5.64,63,58,61,Tomato
30.7,64.6,261,5.7,31,26,66,Groundnut
12.5,51.5,433,6.78,47,25,35,Barley
24.5,51.3,231,6.79,32,42,55,Chickpea
15.5,58.2,337,6.75,41,49,25,Barley
17.5,63.9,532,6.23,58,40,51,Wheat
24.1,52.3,463,5.5,66,33,57,Cotton
29.8,90.6,537,6.31,108,27,53,Rice
27.2,64.9,376,6.36,87,58,99,Tomato
17.9,73.7,308,6.72,58,32,92,Potato
31.6,84.7,553,6.89,79,35,61,Rice
26.0,56.3,253,5.7,34,45,34,Millet
16.2,36.5,301,6.21,71,21,61,Barley
31.4,68.5,620,7.03,110,60,105,Sugarcane
20.7,79.6,457,6.38,64,42,114,Potato
25.1,68.1,545,5.57,55,47,42,Tomato
29.6,50.4,361,7.99,96,42,68,Cotton
26.7,71.6,344,7.54,84,25,79,Cotton
26.9,64.2,319,6.48,81,39,51,Tomato
27.7,55.5,414,6.4,66,25,37,Wheat
25.3,51.0,364,6.66,27,55,33,Groundnut
23.0,72.6,280,6.09,81,29,69,Wheat
30.5,74.2,272,6.22,35,35,64,Groundnut
18.4,62.9,542,6.91,42,31,42,Wheat
30.1,50.7,481,6.85,60,52,75,Maize
19.4,64.2,342,6.47,40,20,29,Wheat
23.2,59.1,498,5.66,54,42,49,Tomato
13.2,69.0,421,7.12,84,23,45,Barley
25.6,42.4,408,7.3,27,26,43,Millet
31.0,78.1,425,5.6,77,60,70,Rice
26.3,54.7,445,6.89,109,55,82,Cotton
12.4,40.3,423,6.57,72,27,41,Barley
16.3,83.6,367,5.78,94,78,95,Potato
25.2,69.4,477,5.89,82,39,88,Tomato
32.7,51.8,378,5.84,62,27,56,Millet
21.4,55.7,491,6.22,91,31,80,Maize
30.6,70.7,441,6.46,67,68,58,Soybean
23.4,63.6,553,7.43,143,42,66,Sugarcane
29.8,45.9,354,6.39,22,31,58,Millet
30.2,71.9,640,5.59,102,33,40,Rice
14.7,45.6,496,7.09,49,36,57,Barley
22.6,57.5,388,5.82,101,50,30,Maize
23.4,79.2,510,6.47,75,32,26,Rice
25.4,73.6,513,6.6,115,47,50,Rice
26.1,56.5,548,6.87,79,24,55,Wheat
23.1,59.0,454,7.24,25,42,55,Soybean
25.5,72.8,697,6.52,91,58,67,Rice
25.7,46.8,445,5.82,29,46,68,Groundnut
24.0,62.3,588,6.26,34,30,72,Soybean
28.2,75.2,574,7.36,97,37,53,Sugarcane
29.9,65.2,446,6.8,60,49,64,Cotton
27.3,47.1,273,7.31,59,60,89,Cotton
34.5,62.7,389,7.52,52,48,36,Cotton
17.3,54.3,448,6.32,39,22,39,Barley
27.7,59.2,212,7.98,32,39,28,Chickpea
18.9,76.9,456,5.68,86,68,77,Tomato
23.5,48.9,474,6.84,119,42,77,Maize
34.8,66.5,681,6.46,118,51,79,Sugarcane
20.8,60.4,476,6.33,97,69,43,Tomato
21.5,57.2,483,7.32,51,60,48,Soybean
25.3,57.7,396,6.44,77,46,97,Tomato
34.4,57.4,381,7.87,109,37,51,Cotton
17.4,62.9,563,5.32,93,50,102,Potato
25.8,53.9,418,5.81,54,29,51,Cotton
19.3,80.0,418,6.94,70,70,97,Tomato
33.5,56.1,263,5.94,28,48,51,Millet
18.3,45.6,328,7.06,41,58,56,Chickpea
18.2,41.9,488,6.33,38,36,41,Barley
24.1,37.2,299,6.23,79,53,26,Barley
31.1,66.3,302,7.06,103,41,56,Maize
26.3,60.9,488,6.53,70,50,56,Maize
20.3,72.9,498,6.79,50,78,118,Potato
24.2,94.9,610,6.24,108,28,32,Rice
30.5,56.3,245,6.2,69,21,25,Millet
25.0,92.7,458,6.91,107,32,55,Rice
28.3,60.4,320,6.58,61,30,47,Millet
30.4,50.8,450,5.92,67,47,34,Maize
31.3,76.6,700,6.42,90,58,60,Sugarcane
27.7,85.7,450,6.47,140,46,66,Sugarcane
26.3,61.0,293,6.45,20,56,65,Groundnut
23.7,71.1,360,6.11,114,39,74,Maize
24.1,91.7,640,6.21,62,29,68,Rice
25.7,62.7,638,6.68,140,64,70,Sugarcane
27.7,86.3,625,6.48,143,62,99,Sugarcane
27.6,58.9,332,7.83,58,27,49,Chickpea
30.6,63.4,333,5.72,39,42,55,Groundnut
30.1,48.3,348,5.87,28,49,43,Groundnut
23.8,59.2,441,6.68,21,43,68,Chickpea
20.4,69.9,343,6.2,47,49,64,Wheat
30.6,49.6,397,6.07,84,53,50,Maize
16.9,66.2,368,6.23,97,66,84,Potato
32.6,53.8,428,7.96,81,32,88,Cotton
15.2,64.0,431,6.94,55,52,42,Wheat
20.4,66.0,493,6.4,44,36,46,Barley
18.4,40.2,253,6.87,47,53,25,Wheat
14.4,46.0,280,7.22,80,33,60,Barley
23.3,45.5,409,5.68,23,36,56,Groundnut
29.8,62.8,326,6.67,48,50,41,Groundnut
31.1,51.9,250,5.95,35,39,34,Groundnut
23.6,58.4,259,6.48,40,54,28,Chickpea
17.6,41.1,426,6.07,48,46,25,Barley
29.4,66.9,591,7.41,63,62,39,Soybean
32.3,62.9,257,5.83,51,45,22,Millet
24.2,69.6,317,6.26,25,32,41,Groundnut
25.3,63.0,258,5.66,44,31,40,Groundnut
30.7,79.5,582,6.45,83,35,48,Rice
25.4,59.0,468,5.99,89,26,56,Cotton
19.4,61.9,310,6.63,52,57,105,Potato
28.1,69.4,375,6.17,89,39,46,Maize
16.6,48.8,328,6.31,83,20,44,Wheat
15.7,72.6,404,6.74,76,55,47,Wheat
24.8,58.1,403,5.81,33,40,51,Groundnut
19.5,35.6,248,7.29,51,41,38,Chickpea
27.7,93.8,613,6.98,103,31,33,Rice
23.9,83.4,421,6.13,77,54,40,Rice
29.0,71.9,538,6.08,102,61,61,Maize
27.4,82.6,417,6.9,116,29,40,Rice
19.2,70.4,511,6.19,61,55,68,Tomato
20.4,70.8,334,6.5,61,41,54,Maize
28.6,51.7,436,6.2,91,54,38,Maize
20.4,51.2,455,7.04,70,61,57,Maize
35.3,56.0,397,7.24,96,50,65,Cotton
29.4,51.7,524,7.14,47,37,43,Soybean
15.5,43.8,267,6.7,76,35,50,Barley
27.8,49.4,314,7.46,101,25,42,Cotton
23.6,72.4,507,5.93,101,39,51,Potato
29.2,88.5,693,5.8,87,29,67,Rice
22.1,58.4,364,6.79,59,43,54,Soybean
24.4,77.6,339,6.68,80,70,49,Tomato
29.8,39.9,440,6.4,26,44,46,Millet
19.7,61.5,367,6.36,50,47,96,Potato
32.0,45.1,592,6.05,118,34,45,Maize
24.5,75.8,750,6.47,95,55,78,Sugarcane
19.4,72.8,533,6.25,66,39,71,Tomato
19.1,47.6,543,6.4,100,32,56,Wheat
19.2,68.1,282,7.02,74,38,65,Barley
19.0,39.1,328,6.58,36,32,49,Barley
19.8,62.0,477,6.48,53,39,89,Tomato
29.0,62.9,586,7.22,39,46,55,Soybean
24.7,49.6,280,5.81,60,45,72,Cotton
22.5,61.1,569,6.57,64,46,37,Soybean
